number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,state
0,0.5084981918334961,2025-09-09 01:20:37.636644,2025-09-09 01:56:34.565975,0 days 00:35:56.929331,0.2089766365993793,14,COMPLETE
1,0.5319030284881592,2025-09-09 02:56:49.891914,2025-09-09 03:46:00.556767,0 days 00:49:10.664853,0.1766883037651555,20,COMPLETE
2,0.5206185579299927,2025-09-09 03:46:00.557254,2025-09-09 04:30:20.579698,0 days 00:44:20.022444,0.2057789839505809,18,COMPLETE
3,0.5048760175704956,2025-09-09 04:30:20.580268,2025-09-09 05:06:03.651603,0 days 00:35:43.071335,0.2851193276585322,14,COMPLETE
4,0.5257731676101685,2025-09-09 06:01:44.009545,2025-09-09 06:46:51.078058,0 days 00:45:07.068513,0.2740024296493638,18,COMPLETE
5,0.5271663665771484,2025-09-09 06:46:51.078781,2025-09-09 07:35:40.692972,0 days 00:48:49.614191,0.2598317128433447,20,COMPLETE
6,0.5176929235458374,2025-09-09 11:15:00.618038,2025-09-09 11:57:25.004184,0 days 00:42:24.386146,0.2233867993749513,14,COMPLETE
7,0.5242407321929932,2025-09-09 11:57:25.004662,2025-09-09 13:09:58.845608,0 days 01:12:33.840946,0.2363640598206966,20,COMPLETE
8,0.5437448024749756,2025-09-09 14:28:34.956017,2025-09-09 15:41:38.341121,0 days 01:13:03.385104,0.12189021871805919,20,COMPLETE
9,0.5260518193244934,2025-09-09 15:41:38.341571,2025-09-09 16:43:11.965683,0 days 01:01:33.624112,0.10342705049233827,17,COMPLETE
10,0.5246586799621582,2025-09-09 16:43:11.966125,2025-09-09 17:49:11.609535,0 days 01:05:59.643410,0.10719608807036772,20,COMPLETE
11,0.5227082967758179,2025-09-09 17:49:11.610020,2025-09-09 18:59:47.893547,0 days 01:10:36.283527,0.1582189549977912,20,COMPLETE
12,0.5271663665771484,2025-09-09 18:59:47.894015,2025-09-09 20:04:00.488270,0 days 01:04:12.594255,0.15857223211978386,18,COMPLETE
13,0.508358895778656,2025-09-09 20:04:00.488787,2025-09-09 20:46:53.542401,0 days 00:42:53.053614,0.10697157834882905,12,COMPLETE
14,0.5307885408401489,2025-09-09 20:46:53.542911,2025-09-09 21:56:35.721623,0 days 01:09:42.178712,0.18162159390606686,20,COMPLETE
15,0.5293954014778137,2025-09-09 21:56:35.722106,2025-09-09 22:50:37.916472,0 days 00:54:02.194366,0.1303201095613775,15,COMPLETE
16,0.5500139594078064,2025-09-09 22:50:37.916961,2025-09-10 00:01:42.980348,0 days 01:11:05.063387,0.13444894387463033,19,COMPLETE
17,0.5306491851806641,2025-09-10 00:01:42.980839,2025-09-10 00:50:31.280626,0 days 00:48:48.299787,0.13451011870564084,18,COMPLETE
18,0.5285595059394836,2025-09-10 00:50:31.281085,2025-09-10 01:39:26.673122,0 days 00:48:55.392037,0.1010634510444668,20,COMPLETE
19,0.5306491851806641,2025-09-10 01:39:26.674586,2025-09-10 02:18:13.257157,0 days 00:38:46.582571,0.1855222498998867,16,COMPLETE
20,0.5406798720359802,2025-09-10 02:18:13.257678,2025-09-10 03:04:04.853301,0 days 00:45:51.595623,0.13231392880592188,18,COMPLETE
21,0.5332961678504944,2025-09-10 03:04:04.853867,2025-09-10 03:49:21.025118,0 days 00:45:16.171251,0.13288293710391177,18,COMPLETE
22,0.5344107151031494,2025-09-10 03:49:21.025759,2025-09-10 04:37:14.278918,0 days 00:47:53.253159,0.136620217372195,19,COMPLETE
