,precision,recall,f1-score,support
Angry,0.4506,0.4614,0.4559,958.0000
Disgust,0.6154,0.0721,0.1290,111.0000
Fear,0.4099,0.2666,0.3231,1024.0000
Happy,0.7368,0.8348,0.7828,1774.0000
Sad,0.4708,0.5620,0.5124,1233.0000
Surprise,0.4490,0.4379,0.4434,1247.0000
Neutral,0.7061,0.6968,0.7014,831.0000
