1.78  1.64  0.27  0.35
1.56  1.45  0.39  0.45
1.42  1.35  0.45  0.48
1.33  1.28  0.49  0.51
1.27  1.24  0.52  0.52
1.22  1.23  0.54  0.53
1.17  1.22  0.55  0.53
1.12  1.19  0.57  0.55
1.08  1.20  0.59  0.55
1.03  1.18  0.61  0.56
1.00  1.20  0.62  0.56
0.96  1.21  0.63  0.56
0.92  1.23  0.65  0.56
0.88  1.25  0.66  0.56
0.85  1.28  0.67  0.57
